100%;;;;;;;;;;;;;;
Sous-jacent;Type;Échéance;Achat;Vente;Cours du Sous-Jacent;Parité (ss-jacent/produit);Frais de gestion/an;Éligible PEA;Garantie de change;Dividendes;Perf 1 an;Mnémo;Isin;Dernière mise à jour
ACTIONS AGRICOLES;;Ouverte;88,89 € (c);89,78 € (c);91,12 pts;1/1;1 %;Non;Non;-;+23,21 %;1390s;FR0010577387;08/02/2010 17:29:33
ALUMINIUM;;29 déc. 10;14,45 € (c);14,65 € (c);1 994 $;0,7597/100;1 %;Non;Oui;-;+26,08 %;1290s;FR0010287433;08/02/2010 17:29:35
ALUMINIUM;;Ouverte;12,27 € (c);12,52 € (c);1 994 $;0,8519/100;1 %;Non;Non;-;+19,01 %;2383s;FR0010583781;08/02/2010 17:29:26
ARGENT;;23 jan. 15;108,40 € (c);109,10 € (c);15,15 $;10/1;0,5 %;Non;Non;-;+9,00 %;4971s;FR0010278069;08/02/2010 17:28:52
BERKSHIRE HATHAWAY;;Ouverte;109,54 € (c);110,42 € (c);1,63 $;1/1 000;0,7 %;Non;Oui;-;+24,40 %;9458s;FR0010681528;08/02/2010 17:29:20
BERKSHIRE HATHAWAY;;Ouverte;80,10 € (c);80,74 € (c);1,63 $;1/1 000;0,7 %;Non;Non;-;  ;9550s;FR0010692814;08/02/2010 17:29:48
BIOX;;23 jan. 15;25,12 € (s);25,37 € (s);--;1/10;0,85 %;Non;Non;-;--;2649s;FR0010354654;08/02/2010 14:11:18
BLE;;Ouverte;31,33 € (c);31,46 € (c);4,87 $;6,6247/1;0,5 %;Non;Oui;-; 30,40 %;4719s;FR0010454967;08/02/2010 17:29:49
BLE;;Ouverte;25,47 € (c);25,57 € (c);4,87 $;7,1616/1;0,2 %;Non;Non;-; 34,35 %;3247s;FR0010536458;08/02/2010 17:29:49
BLE;;9 mars 10;35,40 € (c);35,54 € (c);4,87 $;10/1;0,2 %;Non;Non;-;  ;7006s;FR0010795138;08/02/2010 17:29:49
BRENT;;Ouverte;45,85 € (c);45,95 € (c);69,97 $;0,689/1;0,5 %;Non;Oui;-;+28,54 %;2124s;FR0010511535;08/02/2010 17:29:49
BRENT;;28 mai 10;34,66 € (c);34,77 € (c);69,97 $;0,5183/1;1 %;Non;Oui;-;+32,47 %;3858s;FR0010199836;08/02/2010 17:29:49
BRENT;;28 mai 10;24,66 € (c);24,78 € (c);69,97 $;0,5183/1;1 %;Non;Non;-;+23,54 %;3835s;FR0010197277;08/02/2010 17:29:49
CACAO;;29 déc. 10;221,80 € (c);223,40 € (c);2 228,50 £;1,0012/10;1 %;Non;Oui;-;+13,72 %;1679s;FR0010308650;08/02/2010 17:28:52
