Warrants Actions;;;;;;;;;;
Type Warrant;Prix d'exercice;Échéance;Achat;Vente;Parité (warrant/ss-jacent);Delta;Effet de levier;Mnémo;Isin;Dernière mise à jour
ACCOR  34,56 €;;;;;;;;;;
Call;40 €;19 mars 10;0,06 € (c);0,07 € (c);5/1;11,4 %;12,04;0064S;FR0010796490;08/02/2010 16:50:29
Call;45 €;19 mars 10;--;--;5/1;--;--;0624S;FR0010836189;03/02/2010 14:17:24
Put;32 €;19 mars 10;0,17 € (c);0,18 € (c);5/1; 25,8 %;10,19;0065S;FR0010796508;08/02/2010 17:26:45
Call;35 €;18 juin 10;0,28 € (c);0,29 € (c);10/1;48,5 %;5,90;6667S;FR0010773804;08/02/2010 17:12:07
Call;40 €;18 juin 10;0,25 € (c);0,26 € (c);5/1;24 %;6,51;0066S;FR0010796516;08/02/2010 16:51:00
Call;45 €;18 juin 10;0,02 € (c);0,04 € (c);10/1;9,2 %;10,60;6481S;FR0010759571;08/02/2010 10:21:46
Put;35 €;18 juin 10;0,77 € (c);0,78 € (c);5/1; 51,7 %;4,61;0625S;FR0010836197;08/02/2010 17:21:09
Call;50 €;15 mars 13;0,43 € (c);0,44 € (c);10/1;33,8 %;2,68;0934S;FR0010852749;08/02/2010 16:51:00
Call;60 €;15 mars 13;0,23 € (c);0,24 € (c);10/1;21,6 %;3,15;0488S;FR0010817486;08/02/2010 15:53:21
Call;80 €;15 mars 13;0,06 € (c);0,07 € (c);10/1;7,8 %;4,18;8681S;FR0010642652;08/02/2010 09:06:26
;;;;;;;;;;
ADP  53,99 €;;;;;;;;;;
Call;60 €;18 juin 10;0,34 € (c);0,35 € (c);10/1;35,9 %;5,64;0973S;FR0010853325;08/02/2010 17:15:19
Call;65 €;17 déc. 10;0,52 € (c);0,53 € (c);10/1;37,7 %;3,88;0974S;FR0010853333;08/02/2010 17:24:29
Call;70 €;18 mars 11;0,54 € (c);0,56 € (c);10/1;35 %;3,41;0975S;FR0010853341;08/02/2010 17:29:53
;;;;;;;;;;
AIR FRANCE - KLM  11,47 €;;;;;;;;;;
Call;10 €;19 mars 10;0,85 € (c);0,87 € (c);2/1;82,3 %;5,46;9947S;FR0010723460;08/02/2010 17:29:44
Call;11 €;19 mars 10;0,51 € (c);0,52 € (c);2/1;63,2 %;7,02;0772S;FR0010837666;08/02/2010 17:25:33
Call;12 €;19 mars 10;0,27 € (c);0,28 € (c);2/1;40,7 %;8,48;6669S;FR0010773820;08/02/2010 17:25:33
Call;13 €;19 mars 10;0,12 € (c);0,13 € (c);2/1;22 %;10,09;0627S;FR0010836213;08/02/2010 17:27:54
Call;14 €;19 mars 10;0,02 € (c);0,04 € (c);4/1;8,5 %;7,99;6426S;FR0010758987;08/02/2010 16:34:54
Call;22 €;19 mars 10;--;--;4/1;--;--;8697S;FR0010642819;27/01/2010 09:03:52
Call;27 €;19 mars 10;--;--;5/1;--;--;3223S;FR0010594465;27/01/2010 09:03:52
Put;10 €;19 mars 10;0,11 € (c);0,12 € (c);2/1; 17,8 %;8,85;0067S;FR0010796524;08/02/2010 17:00:27
Call;12 €;18 juin 10;0,57 € (c);0,59 € (c);2/1;48,9 %;4,79;6670S;FR0010773838;08/02/2010 17:29:44
Call;14 €;18 juin 10;0,12 € (c);0,14 € (c);4/1;25,6 %;5,40;6427S;FR0010758995;08/02/2010 16:57:08
Put;10 €;18 juin 10;0,35 € (c);0,36 € (c);2/1; 26,6 %;4,30;0628S;FR0010836221;08/02/2010 17:25:33
Call;14 €;17 sept. 10;0,42 € (c);0,43 € (c);2/1;32,2 %;4,33;0068S;FR0010796532;08/02/2010 17:19:36
Call;14 €;17 déc. 10;0,56 € (c);0,58 € (c);2/1;37,8 %;3,77;0629S;FR0010836239;08/02/2010 17:29:44
Call;16 €;17 déc. 10;0,16 € (c);0,17 € (c);4/1;25 %;4,34;6428S;FR0010759001;08/02/2010 17:00:27
Call;28 €;17 déc. 10;0,01 € (c);0,03 € (c);5/1;1 %;1,21;3224S;FR0010594473;08/02/2010 09:01:48
Call;16 €;18 mars 11;0,49 € (c);0,51 € (c);2/1;31 %;3,52;0773S;FR0010837674;08/02/2010 17:29:44
Call;25 €;18 mars 11;0,01 € (c);0,03 € (c);4/1;3,6 %;5,30;8699S;FR0010642835;08/02/2010 09:01:48
