Bonus Cappé;;;;;;;;;;;;;
Sous-jacent;Niveau bonus;Barrière;Constatation finale;Échéance;Parité (produit/ss-jacent);Achat;Vente;Cours du Sous-Jacent;Rendement max. potentiel *;Ecart/seuil **;Mnémo;Isin;Dernière mise à jour
ACCOR;42,30 €;26,50 €;23 déc. 10;6 jan. 11;1/1;36,29 € (c);36,44 € (c);34,56 €;16,08%; 23,32%;7175S;FR0010844860;08/02/2010 17:29:10
AIR FRANCE - KLM;10,78 €;6,31 €;5 mars 10;19 mars 10;1/1;10,73 € (c);10,83 € (c);11,47 €;0,00%; 44,99%;6764S;FR0010776716;08/02/2010 17:25:00
AIR FRANCE - KLM;12,57 €;7,08 €;30 sept. 10;14 oct. 10;1/1;11,84 € (c);11,94 € (c);11,47 €;5,28%; 38,27%;7018S;FR0010800771;08/02/2010 17:27:54
AIR FRANCE - KLM;13,61 €;8,36 €;23 déc. 10;6 jan. 11;1/1;11,44 € (c);11,54 € (c);11,47 €;17,94%; 27,11%;7176S;FR0010844944;08/02/2010 17:27:54
AIR LIQUIDE;80,54 €;51,92 €;30 sept. 10;18 oct. 10;1/1;79,16 € (c);79,46 € (c);78,30 €;1,36%; 33,69%;0281S;FR0010801522;08/02/2010 17:28:48
ALCATEL LUCENT;3,31 €;1,84 €;23 déc. 10;6 jan. 11;1/1;2,49 € (c);2,54 € (c);2,35 €;30,31%; 21,70%;7177S;FR0010844969;08/02/2010 17:27:06
ALSTOM;57,19 €;36,53 €;23 déc. 10;6 jan. 11;1/1;48,67 € (c);48,87 € (c);46,69 €;17,02%; 21,76%;7178S;FR0010844985;08/02/2010 17:29:48
ALSTOM;58,06 €;33,68 €;30 sept. 10;14 oct. 10;1/1;53,60 € (c);53,80 € (c);46,69 €;7,92%; 27,87%;7019S;FR0010800789;08/02/2010 17:29:48
ARCELOR-MITTAL;28,37 €;14,12 €;24 mars 10;7 avril 10;1/1;27,99 € (c);28,14 € (c);28,10 €;0,82%; 49,75%;6776S;FR0010776880;08/02/2010 17:25:38
ARCELOR-MITTAL;32,87 €;18,12 €;30 sept. 10;18 oct. 10;1/1;30,09 € (c);30,24 € (c);28,10 €;8,70%; 35,52%;0288S;FR0010801597;08/02/2010 17:29:54
ARCELOR-MITTAL;37,74 €;23,36 €;23 déc. 10;6 jan. 11;1/1;29,42 € (c);29,57 € (c);28,10 €;27,63%; 16,87%;7179S;FR0010844993;08/02/2010 17:29:54
AXA;15,54 €;9,25 €;5 mars 10;19 mars 10;0,98/1;15,82 € (c);15,92 € (c);14,245 €;0,00%; 35,06%;6765S;FR0010776724;08/02/2010 17:25:00
AXA;19,03 €;11,94 €;23 déc. 10;6 jan. 11;1/1;14,78 € (c);14,88 € (c);14,245 €;27,89%; 16,18%;7180S;FR0010845016;08/02/2010 17:29:45
AXA;19,11 €;11,06 €;30 sept. 10;18 oct. 10;0,98/1;16,46 € (c);16,56 € (c);14,245 €;18,10%; 22,36%;0282S;FR0010801530;08/02/2010 17:29:52
BNP PARIBAS;63,22 €;37,91 €;30 sept. 10;14 oct. 10;1/1;52,67 € (c);52,87 € (c);47,515 €;19,58%; 20,21%;7016S;FR0010800755;08/02/2010 17:29:48
BNP PARIBAS;64,20 €;40,82 €;23 déc. 10;6 jan. 11;1/1;49,08 € (c);49,28 € (c);47,515 €;30,28%; 14,09%;7181S;FR0010845024;08/02/2010 17:29:49
