Bonus;;;;;;;;;;;;;
Sous-jacent;Niveau bonus;Barrière;Constatation finale;Échéance;Parité (produit/ss-jacent);Achat;Vente;Cours du Sous-Jacent;Rendement min. potentiel *;Ecart/seuil **;Mnémo;Isin;Dernière mise à jour
AIR LIQUIDE;100 €;61,82 €;19 juil. 10;2 août 10;1,1/1;83,66 € (c);83,96 € (c);78,30 €;--;Barrière franchie;2489S;FR0010514463;08/02/2010 17:28:48
ALCATEL LUCENT;9,50 €;6 €;19 juil. 10;2 août 10;1/1;2,31 € (c);2,36 € (c);2,35 €;--;Barrière franchie;2490S;FR0010514497;08/02/2010 17:27:06
AXA;39,08 €;20,42 €;19 juil. 10;2 août 10;0,98/1;13,92 € (c);14,02 € (c);14,245 €;--;Barrière franchie;2492S;FR0010514547;08/02/2010 17:29:52
BNP PARIBAS;110 €;56 €;19 juil. 10;2 août 10;1/1;47,18 € (c);47,38 € (c);47,515 €;--;Barrière franchie;2494S;FR0010514588;08/02/2010 17:29:49
BOUYGUES;38,20 €;23,38 €;30 sept. 11;18 oct. 11;1/1;34,64 € (c);34,79 € (c);34,96 €;9,80%; 33,12%;0307S;FR0010801969;08/02/2010 17:29:53
CAC 40;4 260 pts;2 700,15 pts;24 oct. 11;9 nov. 11;100/1;36,95 € (c);37,10 € (c);3 607,79 pts;14,82%; 25,16%;0582S;FR0010819557;08/02/2010 17:29:49
CAC 40;4 910 pts;2 700,15 pts;23 oct. 12;8 nov. 12;100/1;37,16 € (c);37,31 € (c);3 607,79 pts;31,60%; 25,16%;0583S;FR0010819565;08/02/2010 17:29:49
CAC 40;7 000 pts;4 000 pts;1 oct. 10;15 oct. 10;100/1;34,54 € (c);34,69 € (c);3 607,79 pts;--;Barrière franchie;2472S;FR0010514679;08/02/2010 17:29:54
CARREFOUR;59 €;35,80 €;19 juil. 10;2 août 10;1/1;33,14 € (c);33,29 € (c);34,33 €;--;Barrière franchie;2496S;FR0010514604;08/02/2010 17:29:54
CREDIT AGRICOLE;41,52 €;23,07 €;19 juil. 10;2 août 10;1,08/1;--;--;--;--;Barrière franchie;1429S;FR0010492769;08/02/2010 17:29:33
DJ EUROSTOXX 50;5 600 pts;3 100 pts;1 oct. 10;15 oct. 10;100/1;25,67 € (c);25,82 € (c);2 665 pts;--;Barrière franchie;2471S;FR0010514661;08/02/2010 17:29:44
DJSTOXX SELECTDIV 30;5 027 pts;2 010,55 pts;11 jan. 12;11 jan. 13;100/1;13,45 € (c);13,58 € (c);1 609,38 pts;--;Barrière franchie;2904S;FR0010529776;08/02/2010 17:29:30
FRANCE TELECOM;21,51 €;12,95 €;10 oct. 11;26 oct. 11;1/1;16,42 € (c);16,52 € (c);16,52 €;30,21%; 21,61%;0308S;FR0010801977;08/02/2010 17:29:43
FRANCE TELECOM;30 €;15,40 €;19 juil. 10;2 août 10;1/1;20,58 € (c);20,79 € (c);16,52 €;44,30%; 6,78%;2499S;FR0010514638;08/02/2010 17:29:43
Gdf Suez;33,28 €;20,77 €;30 sept. 11;18 oct. 11;1/1;27,56 € (c);27,71 € (c);26,48 €;20,10%; 21,56%;0309S;FR0010801985;08/02/2010 17:29:47
Gdf Suez;43,68 €;23,30 €;19 juil. 10;2 août 10;0,97/1;26,59 € (c);26,74 € (c);26,48 €;--;Barrière franchie;2502S;FR0010514406;08/02/2010 17:29:47
LAFARGE;121,63 €;71,67 €;19 juil. 10;2 août 10;1/0,87;56,69 € (c);56,89 € (c);51,52 €;--;Barrière franchie;2506S;FR0010514422;08/02/2010 17:29:22
LVMH;64,86 €;47,17 €;30 juil. 10;13 août 10;1/1;76,10 € (c);76,40 € (c);76,11 €;0,00%; 38,02%;6423S;FR0010758946;08/02/2010 17:29:45
