Warrants Dev. & Mat. Prem.;;;;;;;;;;
Type Warrant;Prix d'exercice;Échéance;Achat;Vente;Parité (warrant/ss-jacent);Delta;Effet de levier;Mnémo;Isin;Dernière mise à jour
BRENT 03/2010  69,97 $;;;;;;;;;;
Call;60 $;8 fév. 10;--;--;5/1;--;--;6252S;FR0010740456;08/02/2010 17:29:40
Call;70 $;8 fév. 10;--;--;5/1;--;--;6253S;FR0010740464;08/02/2010 16:57:31
Call;75 $;8 fév. 10;--;--;10/1;--;--;0834S;FR0010838334;08/02/2010 16:35:00
Call;80 $;8 fév. 10;--;--;5/1;--;--;6743S;FR0010774562;08/02/2010 16:35:00
Call;85 $;8 fév. 10;--;--;10/1;--;--;0835S;FR0010838342;25/01/2010 16:35:00
Call;90 $;8 fév. 10;--;--;5/1;--;--;6744S;FR0010774570;21/01/2010 15:54:43
Call;100 $;8 fév. 10;--;--;5/1;--;--;6745S;FR0010774588;20/01/2010 09:10:00
Put;40 $;8 fév. 10;--;--;5/1;--;--;6254S;FR0010740472;04/01/2010 10:44:16
Put;50 $;8 fév. 10;--;--;5/1;--;--;6255S;FR0010740480;20/01/2010 09:10:00
Put;60 $;8 fév. 10;--;--;5/1;--;--;6256S;FR0010740498;20/01/2010 09:10:00
Put;70 $;8 fév. 10;--;--;5/1;--;--;6746S;FR0010774596;08/02/2010 16:57:31
Put;75 $;8 fév. 10;--;--;10/1;--;--;0836S;FR0010838359;08/02/2010 17:26:51
Put;80 $;8 fév. 10;--;--;5/1;--;--;6747S;FR0010774604;08/02/2010 17:29:40
;;;;;;;;;;
BRENT 06/2010  71,80 $;;;;;;;;;;
Call;55 $;11 mai 10;2,72 € (c);2,75 € (c);5/1;90,4 %;3,45;6257S;FR0010740506;08/02/2010 17:29:28
Call;75 $;11 mai 10;0,66 € (c);0,68 € (c);5/1;44,9 %;7,03;6258S;FR0010740514;08/02/2010 17:26:50
Call;80 $;11 mai 10;0,21 € (c);0,22 € (c);10/1;32,6 %;7,98;0837S;FR0010838367;08/02/2010 17:23:06
Call;85 $;11 mai 10;0,27 € (c);0,28 € (c);5/1;21,7 %;8,26;6748S;FR0010774612;08/02/2010 17:26:50
Call;90 $;11 mai 10;0,08 € (c);0,09 € (c);10/1;14,1 %;8,70;0838S;FR0010838375;08/02/2010 16:56:37
Call;95 $;11 mai 10;0,09 € (c);0,10 € (c);5/1;9,5 %;10,52;6749S;FR0010774620;08/02/2010 17:23:06
Call;100 $;11 mai 10;0,03 € (c);0,04 € (c);10/1;4,8 %;7,21;0839S;FR0010838383;08/02/2010 16:35:00
Call;105 $;11 mai 10;0,03 € (c);0,04 € (c);5/1;4,2 %;12,47;6750S;FR0010774638;08/02/2010 17:26:35
Put;45 $;11 mai 10;0,03 € (c);0,04 € (c);5/1; 2,2 %;6,67;6259S;FR0010740522;08/02/2010 16:35:00
Put;65 $;11 mai 10;0,47 € (c);0,48 € (c);5/1; 27,5 %;6,08;6260S;FR0010740530;08/02/2010 17:26:50
Put;70 $;11 mai 10;0,37 € (c);0,38 € (c);10/1; 41 %;5,73;0840S;FR0010838391;08/02/2010 17:28:17
Put;75 $;11 mai 10;1,16 € (c);1,18 € (c);5/1; 55,1 %;4,93;6751S;FR0010774646;08/02/2010 17:27:58
Put;80 $;11 mai 10;0,82 € (c);0,84 € (c);10/1; 67,8 %;4,28;0841S;FR0010838409;08/02/2010 17:26:50
Put;85 $;11 mai 10;2,27 € (c);2,30 € (c);5/1; 78,4 %;3,61;6752S;FR0010774653;08/02/2010 17:28:09
Put;95 $;11 mai 10;3,58 € (c);3,62 € (c);5/1; 90,6 %;2,64;6753S;FR0010774661;08/02/2010 17:28:09
;;;;;;;;;;
BRENT 09/2010  73,39 $;;;;;;;;;;
Call;85 $;11 août 10;0,30 € (c);0,31 € (c);10/1;32,9 %;5,79;0020S;FR0010793935;08/02/2010 17:21:52
Call;95 $;11 août 10;0,16 € (c);0,17 € (c);10/1;19 %;6,19;0021S;FR0010793943;08/02/2010 17:09:52
Call;105 $;11 août 10;0,08 € (c);0,09 € (c);10/1;10 %;6,27;0022S;FR0010793950;08/02/2010 17:28:09
Put;65 $;11 août 10;0,34 € (c);0,35 € (c);10/1; 28,5 %;4,41;0023S;FR0010793968;08/02/2010 17:27:58
Put;75 $;11 août 10;0,69 € (c);0,71 € (c);10/1; 48,1 %;3,68;0024S;FR0010793976;08/02/2010 17:27:05
Put;85 $;11 août 10;1,18 € (c);1,20 € (c);10/1; 67,4 %;3,03;0025S;FR0010793984;08/02/2010 17:26:50
;;;;;;;;;;
BRENT 12/2010  74,79 $;;;;;;;;;;
Call;80 $;10 nov. 10;0,60 € (c);0,62 € (c);10/1;47,5 %;4,26;0842S;FR0010838417;08/02/2010 17:26:35
Call;90 $;10 nov. 10;0,36 € (c);0,37 € (c);10/1;32,2 %;4,82;0843S;FR0010838425;08/02/2010 17:24:21
Call;100 $;10 nov. 10;0,21 € (c);0,22 € (c);10/1;20,9 %;5,33;0844S;FR0010838433;08/02/2010 17:24:21
Call;110 $;10 nov. 10;0,13 € (c);0,14 € (c);10/1;13,2 %;5,35;0845S;FR0010838441;08/02/2010 16:35:00
Put;70 $;10 nov. 10;0,58 € (c);0,60 € (c);10/1; 35,7 %;3,30;0846S;FR0010838458;08/02/2010 17:28:09
Put;80 $;10 nov. 10;0,98 € (c);1,00 € (c);10/1; 52,3 %;2,89;0847S;FR0010838466;08/02/2010 17:26:50
Put;90 $;10 nov. 10;1,49 € (c);1,51 € (c);10/1; 67,9 %;2,47;0848S;FR0010838474;08/02/2010 17:27:05
;;;;;;;;;;
EUR/JPY  122,34 ¥;;;;;;;;;;
Call;130 ¥;19 mars 10;0,59 € (c);0,64 € (c);1/100;10 %;0,13;6284S;FR0010740100;08/02/2010 17:27:15
Call;140 ¥;19 mars 10;0,29 € (c);0,33 € (c);1/100;0,6 %;0,02;6285S;FR0010740118;08/02/2010 15:26:36
Call;145 ¥;19 mars 10;0,16 € (c);0,20 € (c);1/100;0,2 %;0,01;0044S;FR0010794180;08/02/2010 15:26:36
Put;120 ¥;19 mars 10;1,68 € (c);1,73 € (c);1/100; 35,1 %;0,17;6286S;FR0010740126;08/02/2010 17:27:24
Put;125 ¥;19 mars 10;3,52 € (c);3,56 € (c);1/100; 66,6 %;0,15;6287S;FR0010740134;08/02/2010 17:29:14
Put;130 ¥;19 mars 10;6,94 € (c);6,98 € (c);1/100; 90 %;0,11;0045S;FR0010794198;08/02/2010 17:29:41
Call;140 ¥;18 juin 10;0,72 € (c);0,76 € (c);1/100;6,6 %;0,07;0046S;FR0010794206;08/02/2010 17:08:38
Call;145 ¥;18 juin 10;0,40 € (c);0,44 € (c);1/100;3,4 %;0,07;0047S;FR0010794214;08/02/2010 17:03:40
Put;130 ¥;18 juin 10;8,18 € (c);8,22 € (c);1/100; 75,4 %;0,08;0048S;FR0010794222;08/02/2010 17:29:41
Put;135 ¥;18 juin 10;11,76 € (c);11,80 € (c);1/100; 87,1 %;0,06;0049S;FR0010794230;08/02/2010 17:29:41
Call;145 ¥;17 sept. 10;0,76 € (c);0,80 € (c);1/100;7,6 %;0,08;0050S;FR0010794248;08/02/2010 17:03:40
Put;125 ¥;17 sept. 10;6,66 € (c);6,70 € (c);1/100; 55,6 %;0,07;0051S;FR0010794255;08/02/2010 17:29:14
Put;130 ¥;17 sept. 10;9,24 € (c);9,34 € (c);1/100; 69,2 %;0,06;0052S;FR0010794263;08/02/2010 17:27:25
;;;;;;;;;;
EUR/USD  1,37 $;;;;;;;;;;
Call;1,45 $;19 mars 10;0,06 € (c);0,07 € (c);1/10;7,7 %;8,18;0477S;FR0010818740;08/02/2010 16:36:50
Call;1,50 $;19 mars 10;0,03 € (c);0,04 € (c);1/10;1,4 %;3,21;0478S;FR0010818757;08/02/2010 15:26:50
Call;1,55 $;19 mars 10;--;--;1/10;--;--;0479S;FR0010818765;19/01/2010 14:37:02
Put;1,40 $;19 mars 10;0,29 € (c);0,30 € (c);1/10; 70 %;17,09;0480S;FR0010818773;08/02/2010 17:28:21
Put;1,45 $;19 mars 10;0,62 € (c);0,63 € (c);1/10; 92,1 %;10,75;0481S;FR0010818781;08/02/2010 17:28:17
Put;1,50 $;19 mars 10;1,00 € (c);1,01 € (c);1/10; 98,3 %;7,16;0482S;FR0010818799;08/02/2010 17:28:17
Call;1,35 $;18 juin 10;0,44 € (c);0,45 € (c);1/10;58,7 %;9,58;6299S;FR0010740258;08/02/2010 17:28:21
Call;1,40 $;18 juin 10;0,26 € (c);0,27 € (c);1/10;39,7 %;11,05;6300S;FR0010740266;08/02/2010 17:27:49
Call;1,45 $;18 juin 10;0,12 € (c);0,13 € (c);1/10;23,1 %;13,89;6759S;FR0010774729;08/02/2010 17:15:48
Call;1,50 $;18 juin 10;0,06 € (c);0,07 € (c);1/10;12,2 %;12,80;0055S;FR0010794297;08/02/2010 16:36:12
Call;1,55 $;18 juin 10;0,05 € (c);0,06 € (c);1/10;6,1 %;8,90;0483S;FR0010818807;08/02/2010 15:26:50
Call;1,60 $;18 juin 10;0,02 € (c);0,03 € (c);1/10;3,1 %;9,21;0484S;FR0010818815;08/02/2010 15:26:50
Put;1,20 $;18 juin 10;0,04 € (c);0,05 € (c);1/10; 7,8 %;13,70;6301S;FR0010740274;08/02/2010 17:03:01
Put;1,25 $;18 juin 10;0,07 € (c);0,08 € (c);1/10; 14,3 %;13,19;6302S;FR0010740282;08/02/2010 17:23:12
Put;1,35 $;18 juin 10;0,26 € (c);0,27 € (c);1/10; 40,8 %;11,15;6760S;FR0010774737;08/02/2010 17:24:25
Put;1,40 $;18 juin 10;0,45 € (c);0,46 € (c);1/10; 59,8 %;9,63;0056S;FR0010794305;08/02/2010 17:28:53
Put;1,45 $;18 juin 10;0,72 € (c);0,73 € (c);1/10; 76,4 %;7,70;0485S;FR0010818823;08/02/2010 17:27:12
Put;1,50 $;18 juin 10;1,07 € (c);1,08 € (c);1/10; 87,3 %;5,94;0486S;FR0010818831;08/02/2010 17:28:52
Call;1,40 $;17 sept. 10;0,37 € (c);0,38 € (c);1/10;42,7 %;8,27;0878S;FR0010844035;08/02/2010 17:27:45
Call;1,45 $;17 sept. 10;0,22 € (c);0,23 € (c);1/10;29,5 %;9,56;0057S;FR0010794313;08/02/2010 17:20:19
Call;1,50 $;17 sept. 10;0,14 € (c);0,15 € (c);1/10;19,2 %;9,91;0058S;FR0010794321;08/02/2010 17:16:47
Call;1,55 $;17 sept. 10;0,08 € (c);0,09 € (c);1/10;12,1 %;9,95;0059S;FR0010794339;08/02/2010 16:36:12
Put;1,35 $;17 sept. 10;0,37 € (c);0,38 € (c);1/10; 42,3 %;8,27;0060S;FR0010794347;08/02/2010 17:24:33
Put;1,40 $;17 sept. 10;0,57 € (c);0,58 € (c);1/10; 56,5 %;7,26;0061S;FR0010794354;08/02/2010 17:27:10
Put;1,45 $;17 sept. 10;0,83 € (c);0,84 € (c);1/10; 69,8 %;6,12;0879S;FR0010844043;08/02/2010 17:27:10
Call;1,45 $;17 déc. 10;0,31 € (c);0,32 € (c);1/10;33 %;7,71;0880S;FR0010844050;08/02/2010 17:27:12
