Turbos Infinis;;;;;;;;;;
Type Turbo;Échéance;Niveau de financement;Seuil de sécurité;Parité (turbo/ss-jacent);Achat;Vente;Effet de levier;Mnémo;Isin;Dernière mise à jour
BRENT  69,97 $;;;;;;;;;;
Infini Call;Ouverte;62,41 $;65,44 $;10/1;0,56 € (c);0,57 € (c);9,08;7053S;FR0010819755;08/02/2010 17:29:20
Infini Call;Ouverte;52,36 $;54,90 $;10/1;1,29 € (c);1,30 € (c);3,96;7052S;FR0010819748;08/02/2010 17:27:58
Infini Call;Ouverte;42,30 $;44,36 $;10/1;2,01 € (c);2,02 € (c);2,54;7051S;FR0010819730;08/02/2010 17:29:52
Infini Call;Ouverte;32,25 $;33,81 $;10/1;2,76 € (c);2,77 € (c);1,85;7050S;FR0010819714;08/02/2010 17:29:12
Infini Put;Ouverte;91,59 $;87,13 $;10/1;1,58 € (c);1,59 € (c);3,23;7058S;FR0010820100;08/02/2010 17:29:20
Infini Put;Ouverte;111,48 $;106,06 $;10/1;3,03 € (c);3,04 € (c);1,69;7057S;FR0010820092;08/02/2010 17:29:36
Infini Put;Ouverte;131,37 $;124,98 $;10/1;4,49 € (c);4,50 € (c);1,14;7056S;FR0010820084;08/02/2010 17:29:32
Infini Put;Ouverte;151,27 $;143,90 $;10/1;5,94 € (c);5,95 € (c);0,86;7055S;FR0010820076;08/02/2010 17:27:58
;;;;;;;;;;
CAC 40  3 607,79 pts;;;;;;;;;;
Infini Call;Ouverte;3 415,62 pts;3 511,92 pts;100/1;1,90 € (c);1,94 € (c);18,79;7022S;FR0010802298;08/02/2010 17:29:49
Infini Call;Ouverte;3 317,43 pts;3 410,95 pts;100/1;2,88 € (c);2,93 € (c);12,42;7021S;FR0010802280;08/02/2010 17:29:54
Infini Call;Ouverte;3 223,08 pts;3 313,94 pts;100/1;3,82 € (c);3,87 € (c);9,38;6850S;FR0010787994;08/02/2010 17:29:54
Infini Call;Ouverte;3 124,58 pts;3 212,67 pts;100/1;4,81 € (c);4,85 € (c);7,47;6849S;FR0010787986;08/02/2010 17:29:49
Infini Call;Ouverte;3 027,79 pts;3 113,15 pts;100/1;5,78 € (c);5,82 € (c);6,22;6830S;FR0010785477;08/02/2010 17:29:49
